Symbol	Symbol	Strike	Last	Theoretical	IV	Delta	Gamma	Rho	Theta	Vega	Volume	Open Int	Vol/OI	Type	DTE	Exp Date	Last Trade	Avg IV
SPY|20220121|381.00C	SPY	381	36.12	36.12	22.97%	56.48	0.0046	1.35812	-0.0429	1.45123	6	8	0.75	Call	336	01/21/22	02/08/2021	21.80%
SPY|20220121|382.00C	SPY	382	36.08	35.47	22.85%	56	0.00464	1.35028	-0.0428	1.45423	7	318	0.02	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|383.00C	SPY	383	35.92	34.82	22.74%	55.52	0.00467	1.34226	-0.0427	1.45705	2	22	0.09	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|384.00C	SPY	384	35.66	34.19	22.62%	55.03	0.0047	1.33407	-0.04259	1.45966	1	547	0	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|385.00C	SPY	385	34.6	33.55	22.51%	54.53	0.00473	1.3257	-0.04247	1.46206	7	"5,031"	0	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|386.00C	SPY	386	34.49	32.93	22.40%	54.03	0.00476	1.31713	-0.04235	1.46424	3	45	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|387.00C	SPY	387	32.7	32.3	22.28%	53.5	0.00479	1.31826	-0.04219	1.46693	2	36	0.06	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|388.00C	SPY	388	32.29	31.68	22.17%	52.99	0.00482	1.31051	-0.04205	1.46875	1	102	0.01	Call	336	01/21/22	02/18/21	21.80%
SPY|20220121|389.00C	SPY	389	31.78	31.06	22.05%	52.45	0.00485	1.3093	-0.04188	1.47083	2	87	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|390.00C	SPY	390	30.75	30.75	22.14%	51.99	0.00483	1.29924	-0.04217	1.47196	167	"6,555"	0.03	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|391.00C	SPY	391	30.7	29.84	21.82%	51.41	0.0049	1.29028	-0.04157	1.4731	9	34	0.26	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|392.00C	SPY	392	30	29.24	21.71%	50.88	0.00493	1.28049	-0.0414	1.47386	10	100	0.1	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|393.00C	SPY	393	29.66	28.64	21.60%	50.36	0.00496	1.27052	-0.04123	1.47436	4	232	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|394.00C	SPY	394	30.31	28.05	21.49%	49.82	0.00499	1.26037	-0.04105	1.4746	4	223	0.02	Call	336	01/21/22	02/16/21	21.80%
SPY|20220121|395.00C	SPY	395	28.54	27.47	21.37%	49.28	0.00501	1.25253	-0.04085	1.47473	60	"3,652"	0.02	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|396.00C	SPY	396	28.62	26.89	21.26%	48.74	0.00503	1.242	-0.04066	1.47442	6	136	0.04	Call	336	01/21/22	02/17/21	21.80%
SPY|20220121|397.00C	SPY	397	27.05	26.32	21.15%	48.19	0.00506	1.23129	-0.04045	1.47384	21	307	0.07	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|398.00C	SPY	398	26.47	25.75	21.04%	47.64	0.00508	1.22041	-0.04025	1.47297	20	141	0.14	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|399.00C	SPY	399	25.91	25.19	20.93%	47.09	0.0051	1.20935	-0.04004	1.4718	24	131	0.18	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|400.00C	SPY	400	24.7	24.7	20.87%	46.56	0.00511	1.19829	-0.03991	1.47041	96	"14,586"	0.01	Call	336	01/21/22	02/19/21	21.80%
SPY|20220121|381.00P	SPY	381	31.55	31.55	22.92%	-43.16	0.00454	-1.84021	-0.05608	1.45489	2	193	0.01	Put	336	01/21/22	02/19/21	21.80%
